time,frame,kind,detail,addr,data,mask,pc
0.299286,17,YM2203,addr,000040,0004,00FF,1468
0.299293,17,YM2203,data_reg_04,000041,0000,00FF,146C
0.299325,17,YM2203,addr,000040,0005,00FF,1471
0.299332,17,YM2203,data_reg_05,000041,0000,00FF,1475
0.299398,17,YM2203,addr,000040,0006,00FF,1484
0.299406,17,YM2203,data_reg_06,000041,0000,00FF,1488
0.299456,17,YM2203,addr,000040,0027,00FF,000A
0.299465,17,YM2203,data_reg_27,000041,001F,00FF,0012
0.299698,17,YM2203,addr,000040,0027,00FF,000A
0.299706,17,YM2203,data_reg_27,000041,002F,00FF,0012
0.307909,17,YM2203,addr,000040,0027,00FF,000A
0.307917,17,YM2203,data_reg_27,000041,001F,00FF,0012
0.308523,17,YM2203,addr,000040,0027,00FF,000A
0.308532,17,YM2203,data_reg_27,000041,002F,00FF,0012
0.317432,18,YM2203,addr,000040,0000,00FF,1468
0.317439,18,YM2203,data_reg_00,000041,0000,00FF,146C
0.317471,18,YM2203,addr,000040,0001,00FF,1471
0.317478,18,YM2203,data_reg_01,000041,0000,00FF,1475
0.317557,18,YM2203,addr,000040,0002,00FF,1468
0.317564,18,YM2203,data_reg_02,000041,0000,00FF,146C
0.317595,18,YM2203,addr,000040,0003,00FF,1471
0.317602,18,YM2203,data_reg_03,000041,0000,00FF,1475
0.317681,18,YM2203,addr,000040,0004,00FF,1468
0.317688,18,YM2203,data_reg_04,000041,0000,00FF,146C
0.317720,18,YM2203,addr,000040,0005,00
